title,processed_synopsis
Black Panther,death father return home african nation wakanda take right place king power enemi sudden reappear mettl king black panther get test drawn conflict put fate wakanda entir world risk face treacheri danger young king must ralli alli releas full power black panther defeat foe secur safeti peopl
Avengers: Endgame,adrift space food water toni stark send messag pepper pott oxygen suppli start dwindl meanwhil remain aveng thor black widow captain america bruce banner must figur way bring back vanquish alli epic showdown thano evil demigod decim planet univers
Mission: Impossible -- Fallout,ethan hunt imf team join forc cia assassin august walker prevent disast epic proport arm dealer john lark group terrorist known apostl plan use three plutonium core simultan nuclear attack vatican jerusalem mecca saudi arabia weapon go miss ethan crew find desper race time prevent fall wrong hand
Mad Max: Fury Road,year collaps civil tyrann immortan joe enslav apocalyps survivor insid desert fortress citadel warrior imper furiosa charliz theron lead despot five wive dare escap forg allianc max rockatanski tom hardi loner former captiv fortifi massiv armor truck war rig tri outrun ruthless warlord henchmen dead chase wasteland
Spider-Man: Into the Spider-Verse,bitten radioact spider subway brooklyn teenag mile moral sudden develop mysteri power transform one meet peter parker soon realiz mani other share special talent mile must use newfound skill battl evil kingpin hulk madman open portal univers pull differ version world
Wonder Woman,wonder woman gal gadot diana princess amazon train unconquer warrior rais shelter island paradis diana meet american pilot chris pine tell massiv conflict rage outsid world convinc stop threat diana leav home first time fight alongsid men war end war final discov full power true destini
Dunkirk,may 1940 germani advanc franc trap alli troop beach dunkirk air ground cover british french forc troop slowli method evacu beach use everi servic naval civilian vessel could found end heroic mission french british belgian dutch soldier safe evacu
Coco,despit famili ban music young miguel dream becom accomplish musician like idol ernesto de la cruz desper prove talent miguel find stun color land dead meet charm trickster name héctor two new friend embark extraordinari journey unlock real stori behind miguel famili histori
Thor: Ragnarok,imprison side univers mighti thor find dead gladiatori contest pit hulk former alli fellow aveng thor quest surviv lead race time prevent hela destroy home world asgardian civil
Logan,near futur weari logan hugh jackman care ail professor x patrick stewart remot outpost mexican border plan hide outsid world get upend meet young mutant dafn keen much like logan must protect girl battl dark forc want captur
Star Wars: The Last Jedi,luke skywalk peac solitari exist get upend encount rey young woman show strong sign forc desir learn way jedi forc luke make decis chang live forev meanwhil kylo ren general hux lead first order assault leia resist supremaci galaxi
Star Wars: The Force Awakens,thirti year defeat galact empir galaxi face new threat evil kylo ren adam driver first order defector name finn desert planet meet rey daisi ridley tough scaveng whose droid contain map togeth young duo join forc han solo harrison ford make sure resist receiv intellig concern whereabout luke skywalk mark hamil last jedi knight
The Adventures of Robin Hood,king richard lionheart captur scheme brother princ john claud rain plot reach throne outrag sir robin locksley errol flynn bandit king sherwood forest round band men eventu win support love maid marian olivia de havilland robin accus princ john treacheri escap richard return covert england join forc king prevent princ john take crown
King Kong,actress ann darrow fay wray director carl denham robert armstrong travel indian ocean locat shoot denham new jungl pictur along way actress meet fall rug first mate john driscol bruce cabot upon arriv mysteri island ann taken hostag nativ prepar sacrific enorm ape kong rule jungl ann rescu kong captur real troubl begin
Spider-Man: Far From Home,peter parker relax european vacat take unexpect turn nick furi show hotel room recruit mission world danger four massiv element creatur repres earth air water fire emerg hole torn univers parker soon find don suit help furi fellow superhero mysterio stop evil entiti wreak havoc across contin
Incredibles 2,telecommun guru winston deavor enlist elastigirl fight crime make public fall love superhero leav incred one greatest challeng ever stay home take care three rambuncti children violet dash offer new set headach cybercrimin name screenslav launch dastard plan hypnot world comput screen
Zootopia,largest eleph smallest shrew citi zootopia mammal metropoli various anim live thrive judi hopp ginnif goodwin becom first rabbit join polic forc quick learn tough enforc law determin prove judi jump opportun solv mysteri case unfortun mean work nick wild jason bateman wili fox make job even harder
War for the Planet of the Apes,caesar andi serki ape forc dead conflict armi human led ruthless colonel woodi harrelson ape suffer unimagin loss caesar wrestl darker instinct begin mythic quest aveng kind journey final bring face face caesar colonel pit epic battl determin fate speci futur planet
Spider-Man: Homecoming,thrill experi aveng young peter parker return home live aunt may watch eye mentor toni stark parker start embrac newfound ident also tri return normal daili routin distract thought prove friend neighborhood superhero peter must soon put power test evil vultur emerg threaten everyth hold dear
Baby Driver,talent getaway driver babi ansel elgort reli beat person soundtrack best game meet woman lili jame dream see chanc ditch shadi lifestyl make clean break coerc work crime boss kevin spacey babi must face music doom heist threaten life love freedom
Seven Samurai,samurai answer villag request protect fall hard time town need protect bandit samurai gather six other help teach peopl defend villag provid soldier food giant battl occur 40 bandit attack villag
Metropolis,influenti german film present high styliz futurist citi beauti cultur utopia exist bleak underworld popul mistreat worker privileg youth freder gustav fröhlich discov grim scene citi becom intent help worker befriend rebelli teacher maria brigitt helm put odd authorit father lead greater conflict
Jaws,young woman kill shark near new england tourist town amiti island polic chief martin brodi roy scheider want close beach mayor larri vaughn murray hamilton overrul fear loss tourist revenu crippl town ichthyologist matt hooper richard dreyfuss grizzl ship captain quint robert shaw offer help brodi captur killer beast trio engag epic battl man natur
Up,carl fredricksen ed asner balloon salesman fulfil lifelong dream tie thousand balloon hous fli away south american wilder curmudgeon carl worst nightmar come true discov littl boy name russel stowaway aboard hous
Shazam!,superhero insid us take bit magic bring billi batson case need shout one word transform adult superhero shazam still kid heart shazam revel new version teen would fun test newfound power need master quick evil thaddeus sivana get hand shazam magic abil
The Dark Knight,help alli jim gordon gari oldman da harvey dent aaron eckhart batman christian bale abl keep tight lid crime gotham citi vile young crimin call joker heath ledger sudden throw town chao cape crusad begin tread fine line heroism vigilant
The Treasure of the Sierra Madre,classic adventur film two wander dobb humphrey bogart curtin tim holt meet veteran prospector howard walter huston mexico head sierra madr mountain find gold although discov treasur also find plenti troubl ruthless bandit lurk danger mexican wilder insecur greed threaten bring conflict moment
Blade Runner 2049,offic k ryan gosl new blade runner los angel polic depart unearth secret potenti plung left societi chao discoveri lead quest find rick deckard harrison ford former blade runner miss 30 year
The 39 Steps,vacat london canadian richard hannay robert donat becom embroil intern spi ring relat mysteri 39 step meet agent annabella smith luci mannheim soon kill apart must elud polic hunt murder tri stop professor jordan godfrey tearl send secret countri hannay assist pamela madelein carrol unwil accomplic discov truth
Captain America: Civil War,polit pressur mount instal system account action aveng lead collater damag new status quo deepli divid member team captain america chris evan believ superhero remain free defend human without govern interfer iron man robert downey sharpli disagre support oversight debat escal feud black widow scarlett johansson hawkey jeremi renner must pick side
The Jungle Book,rais famili wolv sinc birth mowg neel sethi must leav home ever known fearsom tiger shere khan idri elba unleash mighti roar guid panther ben kingsley bear bill murray young boy meet array jungl anim includ slitheri python ape along way mowg learn valuabl life lesson epic journey lead fun adventur
Harry Potter and the Deathly Hallows: Part 2,clash good evil await young harri daniel radcliff ron rupert grint hermion emma watson prepar final battl lord voldemort ralph fienn harri grown steeli lad mission rid world evil friend must search horcrux keep dastard wizard immort harri voldemort meet hogwart castl epic showdown forc dark may final meet match
Skyfall,jame bond daniel craig latest assign goe terribl wrong lead calamit turn event undercov agent around world expos mi6 attack forc judi dench reloc agenc mi6 compromis insid turn one man trust bond aid field agent naomi harri bond take shadow follow trail silva javier bardem man past want settl old score
Lawrence of Arabia,due knowledg nativ bedouin tribe british lieuten lawrenc peter sent arabia find princ faisal alec guin serv liaison arab british fight turk aid nativ sherif ali omar sharif lawrenc rebel order superior offic strike dare camel journey across harsh desert attack turkish port
Mission: Impossible Rogue Nation,imf disband ethan hunt tom cruis cold new threat call syndic soon emerg syndic network high skill oper dedic establish new world order via escal seri terrorist attack face may imposs mission yet ethan gather team join forc ilsa faust rebecca ferguson disavow british agent may may member dead rogu nation
Apocalypse Now,vietnam 1970 captain willard martin sheen take peril increas hallucinatori journey upriv find termin colonel kurtz marlon brando offic report gone complet mad compani navi patrol boat fill kid air cavalri offic robert duval craze freelanc photograph denni hopper willard travel heart dark
The Hurt Locker,staff sgt william jame jeremi renner sgt sanborn anthoni macki specialist owen eldridg brian geraghti member unit baghdad tour duti enter final week men face set increas hazard situat could end live explos instant
The LEGO Movie,emmet chris pratt ordinari lego figurin alway follow rule mistaken identifi special extraordinari key save world find draft fellowship stranger mission stop evil tyrant ferrel plan conquer world unfortun emmet hopeless hilari unprepar task give nonetheless
Star Trek,aboard uss enterpris starship ever built novic crew embark maiden voyag path take collis cours nero eric bana romulan command whose mission vengeanc threaten mankind human would surviv rebelli young offic name jame kirk chris pine coolli logic vulcan name spock zachari quinto must move beyond rivalri find way defeat nero late
Moana,adventur teenag sail dare mission save peopl journey moana meet demigod maui guid quest becom master togeth sail across open ocean voyag encount enorm monster imposs odd along way moana fulfil ancient quest ancestor discov one thing alway sought ident
Avengers: Infinity War,iron man thor hulk rest aveng unit battl power enemi yet evil thano mission collect six infin stone thano plan use artifact inflict twist realiti fate planet exist never uncertain everyth aveng fought led moment
Ant-Man and The Wasp,scott lang grappl consequ choic superhero father approach hope van dyne hank pym lang must suit fight alongsid wasp urgent mission soon lead secret revel past dynam duo find epic battl power new enemi
Star Wars,imperi forc order cruel darth vader david prows hold princess leia carri fisher hostag effort quell rebellion galact empir luke skywalk mark hamil han solo harrison ford captain millennium falcon work togeth companion droid duo kenni baker anthoni daniel rescu beauti princess help rebel allianc restor freedom justic galaxi
Isle of Dogs,execut decre canin pet megasaki citi exil vast call trash island atari set alon miniatur prop fli across river search spot assist pack mongrel friend begin epic journey decid fate futur entir prefectur
Stagecoach,john ford landmark western revolv around assort group color passeng aboard overland stagecoach bound lordsburg new mexico 1880s alcohol philosoph thoma mitchel ladi ill reput clair trevor timid liquor salesman donald meek among motley crew travel must contend escap outlaw ringo kid john wayn threat apach attack make way across wild west
Goldfinger,special agent 007 sean conneri come face face one notori villain time must outwit outgun power tycoon prevent cash devious scheme raid fort knox obliter world economi
Guardians of the Galaxy,brash space adventur peter quill chris pratt find quarri relentless bounti hunter steal orb covet ronan power villain evad ronan quill forc uneasi truce four dispar misfit rocket raccoon groot enigmat gamora drax destroy discov orb true power cosmic threat pose quill must ralli ragtag group save univers
Kubo and the Two Strings,young kubo art parkinson peac exist come crash accident summon veng spirit past run kubo join forc monkey charliz theron beetl matthew mcconaughey unlock secret legaci arm magic instrument kubo must battl moon king ralph fienn god monster save famili solv mysteri fallen father greatest samurai warrior world ever known
WALL-E,short wast alloc load lifter last robot left earth spend day tidi planet one piec garbag time 700 year develop person littl lone spot eve elissa knight sleek shape probe sent back earth scan mission smitten embark greatest adventur yet follow eve across galaxi
Marvel's the Avengers,thor evil brother loki tom hiddleston gain access unlimit power energi cube call tesseract nick furi samuel jackson director initi superhero recruit effort defeat unpreced threat earth join furi dream team iron man robert downey captain america chris evan hulk mark ruffalo thor chris hemsworth black widow scarlett johansson hawkey jeremi renner
Iron Man,billionair industrialist genius inventor toni stark robert downey conduct weapon test oversea terrorist kidnap forc build devast weapon instead build armor suit upend captor return america stark refin suit use combat crime terror
The Terminator,disguis human cyborg assassin known termin arnold schwarzenegg travel 2029 1984 kill sarah connor linda hamilton sent protect sarah kyle rees michael biehn divulg come skynet artifici intellig system spark nuclear holocaust sarah target skynet know unborn son lead fight virtual unstopp termin hot pursuit kyle attempt escap
The African Queen,religi spinster katharin hepburn missionari brother kill wwi africa dissolut steamer captain humphrey bogart offer safe passag satisfi persuad destroy german gunboat two spend time fight rather german time alon river lead love
Rio Bravo,gunsling joe burdett claud akin kill man saloon sheriff john chanc john wayn arrest aid town drunk dude dean martin long burdett brother nathan john russel come around indic prepar bust brother jail necessari chanc decid make stand reinforc arriv enlist dude old crippl name stumpi walter brennan cowboy colorado ryan ricki nelson help
Hunt for the Wilderpeople,boy julian dennison foster father sam neill becom subject manhunt get strand new zealand wilder
The French Connection,new york detect popey doyl gene hackman partner roy scheider chase french heroin smuggler
The Taking of Pelham One Two Three,new york citi crimin gang led ruthless blue robert shaw hijack subway car threaten start shoot one passeng per minut unless receiv million dollar cash citi within hour end line crusti veteran transit policeman zachari garber walter matthau hand full deal mayor offic hothead fellow cop also tri deliv ransom deadlin expir
John Wick: Chapter 3 -- Parabellum,gun member high tabl shadowi intern assassin guild legendari hit man john wick find strip organ protect servic stuck 14 million bounti head wick must fight way street new york becom target world ruthless killer
Doctor Strange,stephen strang benedict cumberbatch life chang car accid rob use hand tradit medicin fail look heal hope mysteri enclav quick learn enclav front line battl unseen dark forc bent destroy realiti long strang forc choos life fortun status leav behind defend world power sorcer exist
Aliens,float space 57 year ripley sigourney weaver shuttl found deep space salvag team upon arriv marin find one survivor nine year old girl name newt carri henn even marin latest weaponri match hundr alien invad coloni
The Empire Strikes Back,adventur continu star war sequel luke skywalk mark hamil han solo harrison ford princess leia carri fisher chewbacca peter mayhew face attack imperi forc walker ice planet hoth han leia escap millennium falcon luke travel dagobah search yoda jedi master help luke surviv dark side forc beckon ultim duel darth vader david prows
Paths of Glory,world war command offic general broulard adolph menjou order subordin general mireau georg macreadi attack german trench posit offer promot incent though mission foolhardi point suicid mireau command subordin colonel dax kirk dougla plan attack end disast general mireau demand three random soldier order save face
True Grit,outlaw name tom chaney josh brolin murder father feisti farm girl matti ross haile steinfeld hire rooster cogburn jeff bridg boozi lawman help find chaney aveng father bicker duo alon quest texa ranger name laboeuf matt damon also track chaney reason togeth unlik trio ventur hostil territori dispens old west justic
X-Men: Days of Future Past,convinc mutant pose threat human bolivar trask peter dinklag develop sentinel enorm robot weapon detect mutant gene zero person 21st centuri sentinel evolv high effici kill machin mutant face extinct wolverin hugh jackman volunt go back time ralli past help chang pivot moment histori therebi save futur
The Bridge on the River Kwai,adapt pierr bouell novel pow burma forc build bridg aid war effort japanes captor british american offic plot blow structur command bridg construct differ plan
Badlands,inspir killer charl starkweath fugat tale crime love begin town teenag girl holli sissi spacek anger father warren oat begin date older rebelli boy martin sheen conflict holli father erupt murder young lover forc flee ensu crime spree journey midwest badland montana elud author along way
Gun Crazy,pacifist bart tare john dall wit expert shooter anni lauri starr peggi cummin demonstr firearm prowess carniv one night love first sight aimless bart join travel show begin romanc anni danger rebelli spirit soon get fire elop young lover embark arm robberi spree manag elud author anni insist pull one last job
All Is Lost,solo voyag indian ocean veteran marin robert redford awak find vessel take water collis stray ship contain radio navig equip disabl sail unknow violent storm bare escap life luck ocean current may carri ship lane suppli dwindl shark circl sailor forc face mortal
The LEGO Batman Movie,big chang brew gotham batman arnett want save citi joker zach galifianaki hostil takeov may drop lone vigilant thing tri work other mayb mayb learn lighten mayb superhero sidekick robin michael cera loyal butler alfr ralph fienn show thing two
The Princess Bride,fairi tale adventur beauti young woman one true love must find long separ save must battl evil mythic kingdom florin reunit base william goldman novel princess bride earn loyal audienc
Looper,futur societi exist avail mean pay black market mob want elimin someon send target past hit man known looper lie wait finish job joe joseph one hire gun job well day boss decid close loop send joe futur self bruce willi back time kill
Chicken Run,engag claymat adventur tell stori american rooster fall love gorgeous hen british farm coupl decid run away farm must first contend evil farmer intent keep control chicken decid attempt escap get turn chicken pot pie
Stalker,unnam countri unspecifi time fierc protect wasteland known zone illeg guid aleksandr kajdanovski whose mutant child suggest unspeak horror within zone lead writer anatoliy solonitsyn scientist nikolay grinko heart devast search mythic place known room anyon enter room suppos earth desir immedi fulfil
Casino Royale,receiv licens kill british secret servic agent jame bond daniel craig head madagascar uncov link le chiffr mad mikkelsen man financ terrorist organ learn le chiffr plan rais money poker game mi6 send bond play gambl newest 00 oper toppl man organ
Guardians of the Galaxy Vol. 2,peter quill fellow guardian hire power alien race sovereign protect precious batteri invad discov rocket stolen item sent guard sovereign dispatch armada search vengeanc guardian tri escap mysteri peter parentag reveal
