title,rating
Harry Potter and the Deathly Hallows: Part 2,0
Kubo and the Two Strings,0
This Is Not a Film,0
The Hustler,0
The Fly,0
Playing for Keeps,0
Blade Runner,0
Hunt for the Wilderpeople,0
The Conformist,0
The Blue Angel,0
1917,0
Bambi,0
Boxing Gym,0
West Side Story,0
Before Sunrise,0
The Normal Heart,0
Nosferatu,0
Sense and Sensibility,0
"The Good, the Bad, the Weird",0
Teen Titans GO! to the Movies,0
The Young Girls of Rochefort,0
For the Bible Tells Me So,0
Wreck-It Ralph,0
One Hundred and One Dalmatians,0
True Grit,0
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",0
The Big Sick,0
Dawn of the Planet of the Apes,0
Three Colors: Red,0
The Last Waltz,0
Star Wars,0
Onward,0
Gun Crazy,0
Captain America: The Winter Soldier,0
The Searchers,0
Inside Job,0
The Quiet Man,0
The Wild Parrots of Telegraph Hill,0
Sound City,0
Enron: The Smartest Guys in the Room,0
The Beaches of Agnès,0
Gett: The Trial of Viviane Amsalem,0
Last Days in Vietnam,0
Spider-Man: Homecoming,0
Sweet Smell of Success,0
The Favourite,0
Casino Royale,0
Surfwise,0
The Lady Vanishes,0
The Post,0
One Flew Over the Cuckoo's Nest,0
The Incredibles,0
It Follows,0
An American in Paris,0
Coraline,0
Rear Window,0
Carol,0
Anatomy of a Murder,0
Dumbo,0
Gentlemen Prefer Blondes,0
Ghostbusters,0
Holy Motors,0
Searching for Sugar Man,0
The Little Mermaid,0
Mr. Smith Goes to Washington,0
Elevator to the Gallows,0
Sugar,0
Beware of Mr. Baker,0
Millennium Actress,0
Rebecca,0
Rocky,0
Jodorowsky's Dune,0
Open City,0
All Quiet on the Western Front,0
The Town,0
Looking for Eric,0
Stalker,0
BlacKkKlansman,0
Paths of Glory,0
Chariots of Fire,0
Ran,0
More Than Honey,0
The Death of Stalin,0
No Country for Old Men,0
Wonder Woman,0
Ex Machina,0
The Princess Bride,0
Manhattan,0
It,0
Spider-Man: Far From Home,0
Disclosure,0
Slay the Dragon,0
Jiro Dreams of Sushi,0
Down in the Valley,0
All About Eve,0
The Half of It,0
Snowpiercer,0
Ponyo,0
2001: A Space Odyssey,0
Nostalgia for the Light,0
The Philadelphia Story,0
Moonstruck,0
Boy and the World,0
Let the Fire Burn,0
The Alamo,0
The Peanuts Movie,0
Beyond the Mat,0
The Irishman,0
Scratch,0
Up the Yangtze,0
Repulsion,0
Tupac: Resurrection,0
In Fabric,0
Tombstone,0
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,0
Soul Surfer,0
Call Me Kuchu,0
Near Dark,0
Cave of Forgotten Dreams,0
Antz,8
Winnie the Pooh,0
Harry Potter and the Goblet of Fire,0
Heaven Can Wait,0
Song of the Sea,0
Rashomon,0
Man of the Year,0
The Lion King,0
Crumb,0
A Girl Walks Home Alone at Night,0
Every Little Step,0
The Three Burials of Melquiades Estrada,0
Enchanted,0
Pom Wonderful Presents: The Greatest Movie Ever Sold,0
My Fair Lady,0
Citizenfour,0
The Dark Knight,0
The Conjuring,0
Forbidden Planet,0
John Wick: Chapter 3 -- Parabellum,0
Forsaken,0
Moonlight,0
The Perfect Game,0
The Rugrats Movie,0
The Return of the Living Dead,0
Dunkirk,0
The Wrecking Crew,0
The Killing,0
Crazy Heart,0
Embrace of the Serpent,0
Cutie and the Boxer,0
Psycho,0
Relic,0
Pina,0
Lady Bird,0
Before Midnight,0
Annihilation,0
Eraserhead,0
Persepolis,0
Joan Rivers: A Piece of Work,0
House of Wax,0
The Warrior's Way,0
Harpoon,0
Rosemary's Baby,0
More Than a Game,0
Alien,0
Trouble the Water,0
Battle of the Sexes,0
Once Upon a Time in the West,0
The Babadook,0
Keep on Keepin' On,0
Beerfest,7
Unforgiven,0
Your Name,0
Sid & Nancy,0
Titanic,0
Shanghai Noon,0
Apollo 13,0
Citizen Kane,0
Potemkin,0
E.T. the Extra-Terrestrial,0
Nightcrawler,0
Gilda,0
Spellbound,0
Call Me by Your Name,0
Up for Grabs,0
Black Orpheus,0
Hamilton,0
Muscle Shoals,0
Ultimate X: The Movie,0
Heaven's Gate,0
Marty,0
Brooklyn Castle,0
The Damned United,0
Cronos,0
Lone Star,0
Casablanca,0
Annie Hall,0
Apollo 11,0
Dolemite Is My Name,0
Steep,0
The Secret of Roan Inish,0
Toy Story 2,0
Tower,0
Arrival,0
Toy Story 4,0
Timbuktu,0
Lost in La Mancha,0
WALL-E,0
Meek's Cutoff,0
Blazing Saddles,0
Eye in the Sky,0
The Hurricane,0
The LEGO Movie 2: The Second Part,0
Hell or High Water,0
Jonah Hex,0
Daughters of the Dust,0
Henry V,0
The Dark Tower,0
The Empire Strikes Back,0
Birdman or (The Unexpected Virtue of Ignorance),0
Knives Out,0
Fighting With My Family,0
Pain and Glory,0
Hoosiers,8
Major League,0
Cold War,0
Straight Outta Compton,0
Kiss Me Deadly,0
Brimstone,0
When We Were Kings,0
A Night at the Opera,0
High Noon,0
The Lord of the Rings: The Two Towers,0
20 Feet From Stardom,0
3:10 to Yuma,0
The Kid with a Bike,0
It's a Wonderful Life,0
"Food, Inc.",0
Cinema Verite,0
Long Way North,0
La dolce vita,0
Doctor Strange,0
Project Nim,0
Don't Look Now,0
Maverick,0
A Streetcar Named Desire,0
Shrek 2,0
Stagecoach,0
Pokémon 3: The Movie,0
God's Own Country,0
"Crouching Tiger, Hidden Dragon",0
The Mortuary Collection,0
The Illusionist,0
Phantom Thread,0
Cabaret,0
McCabe & Mrs. Miller,0
The Sapphires,0
The Simpsons Movie,0
Coco,0
The Passion of Joan of Arc,0
The Conversation,0
Burning,0
Circus of Books,0
My Neighbor Totoro,0
Isle of Dogs,0
Masculine-Feminine,0
BPM (Beats Per Minute),0
The King of Kong: A Fistful of Quarters,0
The Life and Times of Hank Greenberg,0
James and the Giant Peach,0
The Ballad of Little Jo,0
Priest,0
Last Year at Marienbad,0
Blindsight,0
His House,0
Island of Lost Souls,0
My Beautiful Laundrette,0
Five Easy Pieces,0
"Three Billboards Outside Ebbing, Missouri",0
A Band Called Death,0
Maria Full of Grace,0
10 Cloverfield Lane,0
Paddington 2,0
Ash Is Purest White,0
American Movie,0
Still Walking,0
Ghost in the Shell,0
Brooklyn,0
Spy Kids,0
A Bug's Life,0
No End in Sight,0
Top Hat,0
Riding Giants,0
The Night of the Hunter,0
When Marnie Was There,0
Solaris,0
Prospect,0
Judy,0
My Kid Could Paint That,0
Welcome to Chechnya,0
Captain America: Civil War,0
Deadwood: The Movie,0
Trekkies,0
Back to the Future,0
Marriage Story,0
Johnny Guitar,0
Hush,0
The Wind Rises,0
Army in the Shadows,0
Rivers and Tides: Andy Goldsworthy With Time,0
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",0
Poetry,0
My Left Foot,0
The Muppets,0
"The Godfather, Part II",0
My Journey Through French Cinema,0
Evil Dead 2,0
What Ever Happened to Baby Jane?,0
The Lighthouse,0
Little Shop of Horrors,0
Creed II,0
NASCAR,0
Jurassic Park,0
Rewind,0
Halloween,0
Horror of Dracula,0
Atlantics,0
Kurt Cobain: Montage of Heck,0
National Gallery,0
From Here to Eternity,0
Toy Story 3,0
Upgrade,0
The Band's Visit,0
Aliens,0
The Red Turtle,0
Kedi,0
Arachnophobia,0
The Kid Who Would Be King,0
Athlete A,0
