title,rating
Zootopia,10
Harry Potter and the Goblet of Fire,10
The Babadook,7
What We Do in the Shadows,10
It,8
The Cabin in the Woods,7
The Jungle Book,8
Klaus,7
Arthur Christmas,8
Blue,4
Lone Star,4
Vertigo,3
Last Days in Vietnam,6
John Wick: Chapter 3 -- Parabellum,8
Up,10
The Philadelphia Story,3
The Quiet Man,3
Suspiria,2
Because of Winn-Dixie,4
Fellini: I'm a Born Liar,4
The Warrior's Way,1
Avengers: Endgame,9
X-Men: Days of Future Past,7
Bride of Frankenstein,4
The Illusionist,3
ParaNorman,7
The Nightmare Before Christmas,9
Winnie the Pooh,10
Pinocchio,7
The Conjuring,8
Wreck-It Ralph,10
To All the Boys I've Loved Before,9
La La Land,5
Grave of the Fireflies,3
Captain America: The Winter Soldier,10
Sweeney Todd: The Demon Barber of Fleet Street,4
Thor: Ragnarok,10
Mission: Impossible Rogue Nation,7
Toy Story 2,9
Marvel's the Avengers,10
Kubo and the Two Strings,8
Spider-Man: Homecoming,10
E.T. the Extra-Terrestrial,5
The Iron Giant,10
Shazam!,8
"I, Tonya",7
Princess Mononoke,7
Rango,4
Casino Royale,7
Beauty and the Beast,10
Frankenweenie,10
Big Hero 6,10
Taxi Driver,4
Iron Man,9
A Quiet Place,4
Spider-Man: Into the Spider-Verse,10
Teen Titans GO! to the Movies,7
Frozen,9
The Wizard of Oz,5
The Blind Side,10
The Simpsons Movie,9
A Nightmare on Elm Street,3
Shrek 2,10
Bambi,10
Us,9
Paddington 2,4
The Little Mermaid,10
Captain Marvel,8
Toy Story 3,10
The Witches,5
