title,imagen
Black Panther,https://resizing.flixster.com/z27vZVXCRmpvETmdJQEW9Il7Z2Y=/206x305/v2/https://resizing.flixster.com/KBlur3LaA-y1U1yt6_Y2uO25ozA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzMxOGI1YzBhLWMyMjEtNGUxMS1iM2Q0LWQ4OGMyYzQyZjQyYS53ZWJw
Avengers: Endgame,https://resizing.flixster.com/2yTtbYaljlzWgEhOCUTrH55jjfM=/206x305/v2/https://resizing.flixster.com/fC7nU6iTRQk02tS0SDS1ylx-G34=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QxZjE5ZDgzLTRiY2MtNDFkYS04NWQ4LTRkYzc1ZTAwNWE2NC53ZWJw
Mission: Impossible -- Fallout,https://resizing.flixster.com/kDBqCUI_lLmgdJvKrerE6EA4Fn4=/206x305/v2/https://resizing.flixster.com/KXiRfT4zjPxiNIqdi5UH4ffln9s=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhiMWVjNTExLTEwNjMtNDk2NC1iY2JhLTY1YWIyYTk1Njk1ZC53ZWJw
Mad Max: Fury Road,https://resizing.flixster.com/W2oVMXCI7lZuBYkRA2BVj9rCOGw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10854488_p_v8_ac.jpg
Spider-Man: Into the Spider-Verse,https://resizing.flixster.com/xVd9PLVkH69dU3Yo9XLSjdMeu1M=/206x305/v2/https://resizing.flixster.com/_l50Ahm00b-RO9Ao2s3AyMjUWiU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ExYTZmMWFkLWViZWItNDNhMS1iZTEwLTcxODk1YTk3NWFhMy53ZWJw
Wonder Woman,https://resizing.flixster.com/eZoa81TpJQ8DFvhQZAKqzPTCkNA=/206x305/v2/https://resizing.flixster.com/oV9ExzAFUOnlqgtCAM0-aL2fXUs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg5ZDA3ZGQ4LTE2NDUtNDUyNi04NTZjLTk3Y2MyZTAyODAyOS53ZWJw
Dunkirk,https://resizing.flixster.com/yrvRYyYRovexmCmIi_pije0JZyQ=/206x305/v2/https://resizing.flixster.com/Q8brnMSWFLzW9S2nPmfqAYdQRQg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I1MWE0NTljLTA3ODgtNDZkYy04NTcwLTgzMzg3ZjRmMzRhNC53ZWJw
Coco,https://resizing.flixster.com/iCqOkQHPkLr2JMXeQAh8FHR2R_M=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/172117/172117_ac.jpg
Thor: Ragnarok,https://resizing.flixster.com/sgOB_IkAGoqHjw9CYA1hLOu5RNU=/206x305/v2/https://resizing.flixster.com/cfMzccfl2JCRfmwdK2cCVqBIAlc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzI0NDdkYmJhLTY2MmEtNDY5My04MzMzLTFjMzZhYmM4MDkzZC53ZWJw
Logan,https://resizing.flixster.com/0GEwSIASmiIPMgW__KgjJITA9Ps=/206x305/v2/https://resizing.flixster.com/51dPxdHRE4zztJs60xLy9RBKyro=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU0MTMxZTVlLWRmZGYtNDk5Ni1hYjc0LWJkZGM4MGMxMDkyNC53ZWJw
