title,rating
Logan Lucky,0
Beware of Mr. Baker,0
Paths of Glory,0
Rio Bravo,0
Ghostbusters,0
The Quick and the Dead,0
His House,0
Blow the Man Down,0
My Fair Lady,0
The Replacements,0
The LEGO Batman Movie,10
No End in Sight,0
Circus of Books,0
Hoosiers,0
Captain America: Civil War,9
The Farewell,0
Little Shop of Horrors,0
NASCAR,0
Island of Lost Souls,0
Broadcast News,0
For the Bible Tells Me So,0
Ralph Breaks the Internet,0
Dr. Jekyll and Mr. Hyde,0
My Neighbor Totoro,0
Birdman or (The Unexpected Virtue of Ignorance),0
The Peanuts Movie,0
